context_3,context_2,context_1,response
,"Уважаемые кураторы. Ребят расселили не по командам, хотя анонсировали, что при заселении будут учитывать данное обстоятельство. Можно урегулировать данное обстоятельство и расселить ребят с учетом командообразования?","Все участники, желающие переехать уже высказали свои пожелания. Вожатые их зафиксировали.
Так как последний участник заезжает сегодня в ночи, по плану завтра итоговые составы команд будут закреплены и расселены в соответствии с пожеланиями.","Правильно я вас понимаю, что переселение по командам будет только завтра? Как то странно, что все ждут 1..."
"Уважаемые кураторы. Ребят расселили не по командам, хотя анонсировали, что при заселении будут учитывать данное обстоятельство. Можно урегулировать данное обстоятельство и расселить ребят с учетом командообразования?","Все участники, желающие переехать уже высказали свои пожелания. Вожатые их зафиксировали.
Так как последний участник заезжает сегодня в ночи, по плану завтра итоговые составы команд будут закреплены и расселены в соответствии с пожеланиями.","Правильно я вас понимаю, что переселение по командам будет только завтра? Как то странно, что все ждут 1...",Все кто хотел переселиться уже подошли к кураторам
"Все участники, желающие переехать уже высказали свои пожелания. Вожатые их зафиксировали.
Так как последний участник заезжает сегодня в ночи, по плану завтра итоговые составы команд будут закреплены и расселены в соответствии с пожеланиями.","Правильно я вас понимаю, что переселение по командам будет только завтра? Как то странно, что все ждут 1...",Все кто хотел переселиться уже подошли к кураторам,Спасибо
,,,"Те кого расселили не по командам нужно подойти к кураторам самим, это писали в чате"
,,,Высказались - это записались в таблицу?
,,Высказались - это записались в таблицу?,"Добрый вечер. Та таблица – это предварительная информация. Сейчас у финалистов началась рефлексия, после которой кураторы обязательно уточнят пожелания участников по поводу переселения."
,Высказались - это записались в таблицу?,"Добрый вечер. Та таблица – это предварительная информация. Сейчас у финалистов началась рефлексия, после которой кураторы обязательно уточнят пожелания участников по поводу переселения.","Рефлексия закончилась. У детей ничего не уточнили. Можно узнать, кто завтра будет сопровождать детей из отеля в ВШЭ? На завтрак дети идут сами? Во сколько щавтра утром и где встречаются перед отправкой на финал?"
Высказались - это записались в таблицу?,"Добрый вечер. Та таблица – это предварительная информация. Сейчас у финалистов началась рефлексия, после которой кураторы обязательно уточнят пожелания участников по поводу переселения.","Рефлексия закончилась. У детей ничего не уточнили. Можно узнать, кто завтра будет сопровождать детей из отеля в ВШЭ? На завтрак дети идут сами? Во сколько щавтра утром и где встречаются перед отправкой на финал?","Собираемся, очевидно, в холле"
,,,Расписание же есть
,,,"Сопровождать кураторы будут, говорили вроде"
,,"Сопровождать кураторы будут, говорили вроде","Спасибо. Понятно, что кураторы. Хотелось бы знать фио и контакты."
,"Сопровождать кураторы будут, говорили вроде","Спасибо. Понятно, что кураторы. Хотелось бы знать фио и контакты.",их скидывали в другой чат)
,,,На завтрак сами идём
,,На завтрак сами идём,"Фио и номер давали, кто нас будет вести в отель"
,На завтрак сами идём,"Фио и номер давали, кто нас будет вести в отель",Самсонов Дмитрий один на всех? 😁
На завтрак сами идём,"Фио и номер давали, кто нас будет вести в отель",Самсонов Дмитрий один на всех? 😁,"в любом случае, у нас есть чаты с каждым куратором, номера вроде как они тоже просят"
"Фио и номер давали, кто нас будет вести в отель",Самсонов Дмитрий один на всех? 😁,"в любом случае, у нас есть чаты с каждым куратором, номера вроде как они тоже просят","Добрый вечер. Подскажите, сегодня состоится обещанное переселение по командам по  пожеланиям ребят?"
Самсонов Дмитрий один на всех? 😁,"в любом случае, у нас есть чаты с каждым куратором, номера вроде как они тоже просят","Добрый вечер. Подскажите, сегодня состоится обещанное переселение по командам по  пожеланиям ребят?",В процессе
"в любом случае, у нас есть чаты с каждым куратором, номера вроде как они тоже просят","Добрый вечер. Подскажите, сегодня состоится обещанное переселение по командам по  пожеланиям ребят?",В процессе,"Огромное спасибо за ответ. Не подскажете, а сухпаек на ночной дожер выдали? В ВШЭ сказали, что сухпаек ждет ребят в отеле."
"Добрый вечер. Подскажите, сегодня состоится обещанное переселение по командам по  пожеланиям ребят?",В процессе,"Огромное спасибо за ответ. Не подскажете, а сухпаек на ночной дожер выдали? В ВШЭ сказали, что сухпаек ждет ребят в отеле.",Выдали
В процессе,"Огромное спасибо за ответ. Не подскажете, а сухпаек на ночной дожер выдали? В ВШЭ сказали, что сухпаек ждет ребят в отеле.",Выдали,Вообще супер! 🥳
"Огромное спасибо за ответ. Не подскажете, а сухпаек на ночной дожер выдали? В ВШЭ сказали, что сухпаек ждет ребят в отеле.",Выдали,Вообще супер! 🥳,"Большое спасибо всем кураторам за заботу, терпение и позитив! От лица родителей заранее большое спасибо за фотографии ребят! Пожалуйста, присылайте в чат хоть изредка 😊🙏"
,,,Мы можем пользоваться своими ноутбуками в библиотеке на командном туре?
,,Мы можем пользоваться своими ноутбуками в библиотеке на командном туре?,"Формально нет. Но если мы не решим проблему, придётся разрешать. Поэтому можно взять, но нельзя пользоваться до официального согласования"
,Мы можем пользоваться своими ноутбуками в библиотеке на командном туре?,"Формально нет. Но если мы не решим проблему, придётся разрешать. Поэтому можно взять, но нельзя пользоваться до официального согласования",Ответ на вопрос здесь
,,,Готов заплатить за разрешение
,,Готов заплатить за разрешение,Мы неподкупны
,Готов заплатить за разрешение,Мы неподкупны,А за Барни?
Готов заплатить за разрешение,Мы неподкупны,А за Барни?,"Хорошая попытка, но нет"
Мы неподкупны,А за Барни?,"Хорошая попытка, но нет",Я вам готов пахлаву приготовить
,,,Либо Бабушкину пахлаву привезти
,,,"А есть какие-то ограничения на использование интернет-ресурсов при решении задачи? Например, нельзя пользоваться ресурсами каких-то сайтов и тп
Думаю, это стоит сразу уточнить 👉👈"
,,"А есть какие-то ограничения на использование интернет-ресурсов при решении задачи? Например, нельзя пользоваться ресурсами каких-то сайтов и тп
Думаю, это стоит сразу уточнить 👉👈",Если бы они были это был бы downgrade до 19 века
,,,Ну то есть я могу какой-нибудь условный stackoverflow открыть с ноута?
,,Ну то есть я могу какой-нибудь условный stackoverflow открыть с ноута?,Я разрешаю
,Ну то есть я могу какой-нибудь условный stackoverflow открыть с ноута?,Я разрешаю,Мужик
,,,🥳
,,🥳,Что по итогу с ноутбуками? Можно свои юзать будет?
,,,"очень хотелось бы, т.к. на сберовских не работает даже сберклауд"
,,"очень хотелось бы, т.к. на сберовских не работает даже сберклауд",инет
,,,когда данные дадут
,,когда данные дадут,"Нет сообщения на почте
Где взять данные?"
,когда данные дадут,"Нет сообщения на почте
Где взять данные?",🤯
когда данные дадут,"Нет сообщения на почте
Где взять данные?",🤯,нормально что в бейзе последние строчки про создание тг бота?
"Нет сообщения на почте
Где взять данные?",🤯,нормально что в бейзе последние строчки про создание тг бота?,Ссылка на трейн-видео в почте и на платформе
🤯,нормально что в бейзе последние строчки про создание тг бота?,Ссылка на трейн-видео в почте и на платформе,🤯
нормально что в бейзе последние строчки про создание тг бота?,Ссылка на трейн-видео в почте и на платформе,🤯,"АХАХАХАХАХ
Что это
Что не так с датасетом"
,,,Скиньте ссылку пожалуйста
,,Скиньте ссылку пожалуйста,"Она на платформе, посмотри"
,,,а сколько бейз дает?
,,а сколько бейз дает?,есть пароль от точки NTO_AI ?
,а сколько бейз дает?,есть пароль от точки NTO_AI ?,"Свои данные можно использовать?
Приват будет такой же ужасный?"
,,,"Подскажите, пожалуйста, в какой чат тогда деваться наставникам и родителям? 

И почему участники используют мессенджеры во время соревнования? Разве это разрешается? 

Очень просим не удалять из чата. Хотелось бы быть в курсе оргмоментов, расписания, передвижения участников."
,,"Подскажите, пожалуйста, в какой чат тогда деваться наставникам и родителям? 

И почему участники используют мессенджеры во время соревнования? Разве это разрешается? 

Очень просим не удалять из чата. Хотелось бы быть в курсе оргмоментов, расписания, передвижения участников.","1. На финалах НТО есть официальные рабочие чаты для финалистов. Специальных чатов для родителей и наставников нет.
2. Пользоваться мессенджерами не запрещается во время решения командной инженерной задачи.
3. Все интересующие вопросы Вы можете задать в call-центр НТО по номеру телефона 8-800-511-59-09. Звонки принимаются с 9 до 18 часов.
Мы услышали Вашу просьбу, однако не можем ее удовлетворить. Это рабочий чат для участников финала."
,,,.-. Мы на финале по искусственному интеллекту.... Почему бы и не попользоваться мессенджерами?:((
,,.-. Мы на финале по искусственному интеллекту.... Почему бы и не попользоваться мессенджерами?:((,"предлагаю забрать у нас компы, это же олимпиада) Нельзя компы"
,,,А потому что хочется
,,А потому что хочется,На листочке обучать будем
,,,На почту ушла инструкция и видео-инструкция на увеличение квоты NFS
,,На почту ушла инструкция и видео-инструкция на увеличение квоты NFS,"Половине участников не пришло письмо, можете в чат скинуть пожалуйста"
,,,"Друзья, открылась возможность грузить решения на платформе"
,,,"а если оказалось что крыса всю ночь работала, хотя мы ее точно отключали, нам докинут деняк?"
,,"а если оказалось что крыса всю ночь работала, хотя мы ее точно отключали, нам докинут деняк?","не, вроде на открытии говорили, что не будут"
,,,ну может сжалятся
,,,И вот так 16 часов без возможности зайти ... или выключить
,,И вот так 16 часов без возможности зайти ... или выключить,на квадратик нажать и удалить надо было
,,,Заявка в тех.поддержку была? Скажи номер
,,Заявка в тех.поддержку была? Скажи номер,+++
,Заявка в тех.поддержку была? Скажи номер,+++,"мы вчера точно все выключили
ладно, деняк не скинут, мы уже поняли("
,,,А можно тех специалиста на второй этаж?
,,А можно тех специалиста на второй этаж?,Поднимается в клетчатой рубашке
,,,🥺
,,,А если у нас в команде три человека как объединиться в ОДС?
,,А если у нас в команде три человека как объединиться в ОДС?,всм макс 2
,,,"101 участник
правилами предусматривается вроде как
ну нам так сказали"
,,"101 участник
правилами предусматривается вроде как
ну нам так сказали",лол а это честно разве..
,"101 участник
правилами предусматривается вроде как
ну нам так сказали",лол а это честно разве..,ну вот так
,,,Что делать если сервер уже 6 минут запустится не может?
,,Что делать если сервер уже 6 минут запустится не может?,+
,,,"статус success, но без метрики, это что значит?"
,,"статус success, но без метрики, это что значит?","Уважаемые участники, готовы результаты предметного тура! Приглашаем вас ознакомиться с результатами, решениями, ответами и посмотреть работы на нижний этаж библиотеки, зона 330.1
Ждём вас до ужина.
Решения и ответы"
,,,⭐️ После просмотра работ можно подать заявление на апелляцию.
,,⭐️ После просмотра работ можно подать заявление на апелляцию.,Когда будет проходить апелляция? Когда нужно подать заявление на апелляцию?
,⭐️ После просмотра работ можно подать заявление на апелляцию.,Когда будет проходить апелляция? Когда нужно подать заявление на апелляцию?,"Апелляция завтра с 10.30.
Заявления на апелляцию собираем сегодня до  20 часов."
,,,"Можете подойти пожалуйста, мы не можем создать юпитер сервер новый"
,,"Можете подойти пожалуйста, мы не можем создать юпитер сервер новый",он не дает
,,,"тоже самое, грузит и всё"
,,"тоже самое, грузит и всё",Тесты к задачам по информатике
,,,Может разрешите на ночь сбер клауд? Это просто жесть - мы даже не можем банально скачать веса обученной модели.
,,Может разрешите на ночь сбер клауд? Это просто жесть - мы даже не можем банально скачать веса обученной модели.,+++
,,,+
,,+,"Факт, инет постоянно вылетает и веса не качаются"
,+,"Факт, инет постоянно вылетает и веса не качаются",ну и плюсом
+,"Факт, инет постоянно вылетает и веса не качаются",ну и плюсом,"Мы почти ничего не успели чисто из-за того, что мы со сберклаудом копались часа 2-3
Ещё и из-за инета всё крашилось
Давайте подписывать петицию"
"Факт, инет постоянно вылетает и веса не качаются",ну и плюсом,"Мы почти ничего не успели чисто из-за того, что мы со сберклаудом копались часа 2-3
Ещё и из-за инета всё крашилось
Давайте подписывать петицию",согл
,,,"два часа отняли на ерунду, а вернуть не вернули"
,,"два часа отняли на ерунду, а вернуть не вернули",Ты посчитай сколько этих часов ещё вчера было
,"два часа отняли на ерунду, а вернуть не вернули",Ты посчитай сколько этих часов ещё вчера было,ну часов 4-5 и потеряно
,,,Ещё и сабмитить нельзя
,,,"а сберклауд в принципе умирал постоянно, тех поддержка не помогла никак вообще"
,,"а сберклауд в принципе умирал постоянно, тех поддержка не помогла никак вообще","просят название юпитер ноутбука, скрины, а в итоге ничего не меняется"
,,+++,шик блеск
,+++,шик блеск,Надо бунт устраивать
+++,шик блеск,Надо бунт устраивать,"доп время было бы очень кстати. где его возьмут, не моя проблема"
шик блеск,Надо бунт устраивать,"доп время было бы очень кстати. где его возьмут, не моя проблема",Ну пока мы тут можно к оргам подойти
Надо бунт устраивать,"доп время было бы очень кстати. где его возьмут, не моя проблема",Ну пока мы тут можно к оргам подойти,"а кто они и где
я путаюсь"
"доп время было бы очень кстати. где его возьмут, не моя проблема",Ну пока мы тут можно к оргам подойти,"а кто они и где
я путаюсь","Александр
Дядя такой в очках"
Ну пока мы тут можно к оргам подойти,"а кто они и где
я путаюсь","Александр
Дядя такой в очках","либо ты, либо скажи, куда подбежать….."
"а кто они и где
я путаюсь","Александр
Дядя такой в очках","либо ты, либо скажи, куда подбежать…..",так делать можно или нет?¿
"Александр
Дядя такой в очках","либо ты, либо скажи, куда подбежать…..",так делать можно или нет?¿,"было бы непло0о если бы официально и сабы разрешили тк теряешь сбер клауд => теряешь свои сабы на этот день
кто то залил а кто то нет
мы к примеру 2 часа скачивали веса и не смогли залить из за этого"
,,,Снова не того тегнул)
,,Снова не того тегнул),Но уже лучше!
,,,сашу вортегу тогда уж
,,сашу вортегу тогда уж,"Спасибо, я то я уже запутался кто за что отвечает среди организаторов)"
,сашу вортегу тогда уж,"Спасибо, я то я уже запутался кто за что отвечает среди организаторов)","Вопрос к организаторам, можете ли вы увеличить количество допускаемых сабмитов нам за сутки? Было бы классно, учитывая данные и метрика, которая у нас есть"
,,,Ну вечером
,,Ну вечером,Согласен
,,,В сбер клауде порешали что обучать можно же?
,,В сбер клауде порешали что обучать можно же?,"вроде да, сервера ночью не блочат"
,В сбер клауде порешали что обучать можно же?,"вроде да, сервера ночью не блочат",За то удаляют
,,,"Решать не разрешили, со слов организаторов"
,,"Решать не разрешили, со слов организаторов",но если че за перекинутый код с колаба бить не будут?
,,,Да их и днем удаляют)
,,Да их и днем удаляют),ну надеюсь за такое не забанят тк у нас не сохранилась в сбере последняя версия ноута и мы ее загрузим
,,,"А сберклауд можно для нас включить? У всех пишет, что аккаунт заблокированы"
,,"А сберклауд можно для нас включить? У всех пишет, что аккаунт заблокированы",Он не заблокирован
,,,А если сабмитить чисто чтобы скор чекнуть?
,,А если сабмитить чисто чтобы скор чекнуть?,Можно загрузить обученную модель. Можешь подробнее описать вопрос?
,А если сабмитить чисто чтобы скор чекнуть?,Можно загрузить обученную модель. Можешь подробнее описать вопрос?,"Если загружать с 00:00 до 7:30 для того чтобы посмотреть результат, дисквалификации не будет?"
А если сабмитить чисто чтобы скор чекнуть?,Можно загрузить обученную модель. Можешь подробнее описать вопрос?,"Если загружать с 00:00 до 7:30 для того чтобы посмотреть результат, дисквалификации не будет?",Результат сабмита не будет учитываться при формировании итогового рейтинга.
,,,Дисквал не будет?
,,,И еще на команду 5 сабмитов или 10?
,,И еще на команду 5 сабмитов или 10?,5
,,,"Блокировки не должно быть. Коллеги ничего не меняли.
Мы разрешаем только загрузить обученные модели."
,,"Блокировки не должно быть. Коллеги ничего не меняли.
Мы разрешаем только загрузить обученные модели.",должно быть 5
,,,"А если запустить например в 23:50 и будет статус running то модель засчитают или нет, потому что ей выполняться около 20+ минут"
,,"А если запустить например в 23:50 и будет статус running то модель засчитают или нет, потому что ей выполняться около 20+ минут","Считается время загрузки модели, а не когда она досчиталась."
,"А если запустить например в 23:50 и будет статус running то модель засчитают или нет, потому что ей выполняться около 20+ минут","Считается время загрузки модели, а не когда она досчиталась.",Понял
,,,засчитают
,,засчитают,Найс
,,,Мда
,,Мда,м-нет
,Мда,м-нет,Пародия на нестареющую классику
Мда,м-нет,Пародия на нестареющую классику,"мы поставили грузиться модель до 12, а загрузилась она только сейчас. это будет считаться?"
,,,так-то попытку потратили...
,,так-то попытку потратили...,если нажал отправить саб сейчас то по идее ты потерял попытку
,,,надал еще вчера
,,надал еще вчера,тогда все ок
,надал еще вчера,тогда все ок,загрузилась она только сейчас
надал еще вчера,тогда все ок,загрузилась она только сейчас,Вряд ли засчитается
,,,"почему такая ошибка если все работает, файл выгружается, все как по формату"
,,"почему такая ошибка если все работает, файл выгружается, все как по формату",а можно как-то узнать в чем проблема со стороны одса? @tiny_coin
,"почему такая ошибка если все работает, файл выгружается, все как по формату",а можно как-то узнать в чем проблема со стороны одса? @tiny_coin,Я могу только посоветовать в тех. поддержку написать
,,,"кто то может сталкивался
пожалуйста помогите
ошибка без подробностей"
,,,"ошибка на паблике/привате, там ошибки не показывают"
,,"ошибка на паблике/привате, там ошибки не показывают",а можно заливать решения(это не бесполезно)?
,"ошибка на паблике/привате, там ошибки не показывают",а можно заливать решения(это не бесполезно)?,ели завтра после 7:30 перезальёшь то не бесполезно
"ошибка на паблике/привате, там ошибки не показывают",а можно заливать решения(это не бесполезно)?,ели завтра после 7:30 перезальёшь то не бесполезно,мб сегодня?
а можно заливать решения(это не бесполезно)?,ели завтра после 7:30 перезальёшь то не бесполезно,мб сегодня?,ну ты же меня прекрасно понял)))
,,,так блин а как если на предтесте все ок
,,так блин а как если на предтесте все ок,скор посмотреть
,так блин а как если на предтесте все ок,скор посмотреть,он спит уже
так блин а как если на предтесте все ок,скор посмотреть,он спит уже,мне кажется не лучшая тдея тегать в 3 часа ночи админа)
скор посмотреть,он спит уже,мне кажется не лучшая тдея тегать в 3 часа ночи админа),так блин сделайте норм систему а потом идите спать
он спит уже,мне кажется не лучшая тдея тегать в 3 часа ночи админа),так блин сделайте норм систему а потом идите спать,Только в тех поддержку писать(((
мне кажется не лучшая тдея тегать в 3 часа ночи админа),так блин сделайте норм систему а потом идите спать,Только в тех поддержку писать(((,они же фиг ответят
так блин сделайте норм систему а потом идите спать,Только в тех поддержку писать(((,они же фиг ответят,"Мб, не пробовал"
Только в тех поддержку писать(((,они же фиг ответят,"Мб, не пробовал","Подскажите, пожалуйста, а как подгрузить конфиг другой gpt?"
,,,"А что делать если мы так и не смогли обучить? Клауд не работатет совсем, коллаб с каглам слетают..."
,,"А что делать если мы так и не смогли обучить? Клауд не работатет совсем, коллаб с каглам слетают...",Хз все нормально работало
,,,"Даже если мы сейчас туда приедем, то ничего не изменится и мы с этим ничего не сделаем
Когда мы сервер запускаем нам предупреждение выводит
Сегодня с 3-4 часов ночи переписывалась с поддержкой в итоге в 5:01 они ливнули просто"
,,,Надо было распределять грамотно время на протяжении всего финала чтобы успеть сделать
,,Надо было распределять грамотно время на протяжении всего финала чтобы успеть сделать,Словишь вместо меня статус failed при скачивании весов несколькт раз?
,Надо было распределять грамотно время на протяжении всего финала чтобы успеть сделать,Словишь вместо меня статус failed при скачивании весов несколькт раз?,Ловил
,,,"Так у нас не запускался клауд
А колаб с каглом слетали
Что мы сделать можем?"
,,,И саб вчера два часа заливал потому что слетал
,,И саб вчера два часа заливал потому что слетал,"Хорош, мы ни одних весов не смогли скачать"
,,,"Мы обучали примерно часа три
Потом всё слетело
Чекпоинты просто удалились
После этого сервак не запускался"
,,"Мы обучали примерно часа три
Потом всё слетело
Чекпоинты просто удалились
После этого сервак не запускался","Нет, в 12 закрывается приём решений, все, что не успеет загрузиться - не успеет загрузиться"
,"Мы обучали примерно часа три
Потом всё слетело
Чекпоинты просто удалились
После этого сервак не запускался","Нет, в 12 закрывается приём решений, все, что не успеет загрузиться - не успеет загрузиться","то есть
фактически у нас час остался?"
"Мы обучали примерно часа три
Потом всё слетело
Чекпоинты просто удалились
После этого сервак не запускался","Нет, в 12 закрывается приём решений, все, что не успеет загрузиться - не успеет загрузиться","то есть
фактически у нас час остался?",Да
,,,а можно попытку обратно?
,,а можно попытку обратно?,Тут ваша вина
,а можно попытку обратно?,Тут ваша вина,это бейз
а можно попытку обратно?,Тут ваша вина,это бейз,))
,,,почему оно вообще так кто-то знает?
,,почему оно вообще так кто-то знает?,Можем попросить экспертного мнения @kondrateva_m
,почему оно вообще так кто-то знает?,Можем попросить экспертного мнения @kondrateva_m,из бейза только модель заменена и обработка данных
почему оно вообще так кто-то знает?,Можем попросить экспертного мнения @kondrateva_m,из бейза только модель заменена и обработка данных,Бейз с ошибками)
,,,А всё
,,А всё,Ловушка джокера
,,,Ух ты меня пустили
,,Ух ты меня пустили,вадирт ты ли это
,Ух ты меня пустили,вадирт ты ли это,Хто
Ух ты меня пустили,вадирт ты ли это,Хто,просто очень ппохож
вадирт ты ли это,Хто,просто очень ппохож,Хм
,,,Сергей всего
,,Сергей всего,угараешь?
,Сергей всего,угараешь?,Туда его
,,,Он не рабочий в целом из коробки
,,Он не рабочий в целом из коробки,Так что извините
,,,Я могу назвать ФИ просто)
,,Я могу назвать ФИ просто),"Нет, так не пойдет. Все в этом чате переименовались, чтобы организаторы понимали, с кем ведут коммуникацию."
,,,у кого ник не в формате фамилия имя тех кикают вроде
,,у кого ник не в формате фамилия имя тех кикают вроде,"спасибо, а можно пожалуйста по последнему сабмиту объяснить)"
,,,"Это Вы скинули на сабмит с ошибкой, которая не отобразилась
Мне это уже неактуально и спрашивал вопросы выше про последний саб который success но без метрики"
,,"Это Вы скинули на сабмит с ошибкой, которая не отобразилась
Мне это уже неактуально и спрашивал вопросы выше про последний саб который success но без метрики",Уточняю у коллег
,"Это Вы скинули на сабмит с ошибкой, которая не отобразилась
Мне это уже неактуально и спрашивал вопросы выше про последний саб который success но без метрики",Уточняю у коллег,"а почему мне не хотят сабмит вернуть, если ошибка на платформе, которая должна автоматом возвращать саб, если у меня что-то сломалось"
"Это Вы скинули на сабмит с ошибкой, которая не отобразилась
Мне это уже неактуально и спрашивал вопросы выше про последний саб который success но без метрики",Уточняю у коллег,"а почему мне не хотят сабмит вернуть, если ошибка на платформе, которая должна автоматом возвращать саб, если у меня что-то сломалось",Потому что это не на платформе. У вас на всех фазах результаты {'bleuScore': nan}. Вы тестировали код локально?
Уточняю у коллег,"а почему мне не хотят сабмит вернуть, если ошибка на платформе, которая должна автоматом возвращать саб, если у меня что-то сломалось",Потому что это не на платформе. У вас на всех фазах результаты {'bleuScore': nan}. Вы тестировали код локально?,"Ну не смогли протестировать нормально, но ведь суть в том что ошибка случилась, почему мы 3 сабмита потеряли"
,,,мне Алексанлр пишет что нет не вернем 🤯
,,мне Алексанлр пишет что нет не вернем 🤯,Че это значит?
,мне Алексанлр пишет что нет не вернем 🤯,Че это значит?,"‼️Результаты по заявлениям на апелляцию по математике
Белый Андрей - задача 1 =15 баллов
Заборщиков Артём - без изменений
Косолапов Руслан Задача 1 =15 баллов
Михайлов Артём Задача 1 =15 баллов
Тараненко Максим - Задача 1=15 баллов
Ильтяков Никита Задача 4 =10 баллов

Обновленный протокол по математике будет опубликован позже"
мне Алексанлр пишет что нет не вернем 🤯,Че это значит?,"‼️Результаты по заявлениям на апелляцию по математике
Белый Андрей - задача 1 =15 баллов
Заборщиков Артём - без изменений
Косолапов Руслан Задача 1 =15 баллов
Михайлов Артём Задача 1 =15 баллов
Тараненко Максим - Задача 1=15 баллов
Ильтяков Никита Задача 4 =10 баллов

Обновленный протокол по математике будет опубликован позже","Можно хотя бы 1 вернуть
У нас больше нет попыток, 2 из 5 только получились
мы пофиксили эту ошибку
и хотим последний саб загрузить
мы не надеялись на то, что если что-то пойдет не так, то нам не вернут попытку, поэтому сильно не дебажили"
,,,"Коллеги, в ответ на обращение участников финала принято решение продлить рабочее время до 14:00 02 марта (сегодня, четверг).
Это означает, что вы должны загрузить решения на проверяющую платформу. Не поставить на загрузку, а именно загрузить, то есть решение нужно загружать раньше.

Выбор финального сабмита до 15:00 02 марта (сегодня, четверг)."
,,"Коллеги, в ответ на обращение участников финала принято решение продлить рабочее время до 14:00 02 марта (сегодня, четверг).
Это означает, что вы должны загрузить решения на проверяющую платформу. Не поставить на загрузку, а именно загрузить, то есть решение нужно загружать раньше.

Выбор финального сабмита до 15:00 02 марта (сегодня, четверг).",А как же экскурсия?
,,,ХАРОООООШ
,,,letsgoo
,,letsgoo,и как решать
,,,"ахахаахах
жиза
а вот не знаю
у нас первый раз ток сегодня с утра запустился сервак"
,,"ахахаахах
жиза
а вот не знаю
у нас первый раз ток сегодня с утра запустился сервак","‼️Протокол по математике после апелляции.

По информатике изменений баллов не было."
,"ахахаахах
жиза
а вот не знаю
у нас первый раз ток сегодня с утра запустился сервак","‼️Протокол по математике после апелляции.

По информатике изменений баллов не было.","Ребят, кто тут финалисты БДиМО? Го продолжим топить за перенос предметного тура? Это жестоко, ибо тур командный, и из-за дисквала одних ребят пострадают другие"
,,,Типо без предметки не дадут призерства
,,Типо без предметки не дадут призерства,Так участвуй в предметке
,,,"А смысл тогда участвовать?
Половина ливнет"
,,"А смысл тогда участвовать?
Половина ливнет",А при чём тут ИИ?
,"А смысл тогда участвовать?
Половина ливнет",А при чём тут ИИ?,4го числа предметка
"А смысл тогда участвовать?
Половина ливнет",А при чём тут ИИ?,4го числа предметка,"А, ну удачи"
,,,И 4го числа в разъеде мы
,,И 4го числа в разъеде мы,Там с 8 до 12 тур
,,,))
,,)),4 выезд же?
,)),4 выезд же?,Да
)),4 выезд же?,Да,Ну так
,,,Вы во сколько выезжаете?
,,Вы во сколько выезжаете?,Все в разное
,,,Самый убогий день выбрали
,,Самый убогий день выбрали,Ты во сколько?
,Самый убогий день выбрали,Ты во сколько?,"Я ночью уезжаю и в это время ещё буду в пути
))"
Самый убогий день выбрали,Ты во сколько?,"Я ночью уезжаю и в это время ещё буду в пути
))",3 числа ночью?
Ты во сколько?,"Я ночью уезжаю и в это время ещё буду в пути
))",3 числа ночью?,Да
"Я ночью уезжаю и в это время ещё буду в пути
))",3 числа ночью?,Да,Понятно
3 числа ночью?,Да,Понятно,Отправлять только топ 15 командам?
Да,Понятно,Отправлять только топ 15 командам?,Так привата ещё не было
Понятно,Отправлять только топ 15 командам?,Так привата ещё не было,"Всмысле?
Всем?"
Отправлять только топ 15 командам?,Так привата ещё не было,"Всмысле?
Всем?",Всем надо
Так привата ещё не было,"Всмысле?
Всем?",Всем надо,Нам сказали к компам подходить нельзя как мы приедем
,,,а подписывать как-то надо?
,,а подписывать как-то надо?,+
,,+,"ураа будет возможность поспать
спасибо!!!"
,,,Когда откроют приват лидерборд?
,,Когда откроют приват лидерборд?,Скорее всего завтра
,,,"Точно завтра
После награждения"
,,"Точно завтра
После награждения","ааа, это как тайна"
,,,А баллы с привата учитываются или с паблика?
,,А баллы с привата учитываются или с паблика?,с привата
,,,"Привата, конечно"
,,"Привата, конечно",приват + паблик или онли приват?
,"Привата, конечно",приват + паблик или онли приват?,Онли приват
,,,когда будет приват?)
,,когда будет приват?),сообщение выше
,,,После награждения
,,,Что по вопросу с переселением из 305?
,,Что по вопросу с переселением из 305?,осталось двое суток до конца олимпы же
,,,У меня напарник заболел
,,У меня напарник заболел,Приватные включили
,,,скоро финал?
,,скоро финал?,"Действительно, когда финал?"
,скоро финал?,"Действительно, когда финал?",Скоро
,,,"Завтра последний день решения. Только ночью не сабмить, говорят банят"
,,"Завтра последний день решения. Только ночью не сабмить, говорят банят",хорошо вортега
,,,"я только заехал в отель
спасибо"
,,"я только заехал в отель
спасибо",огонь 🔥
,"я только заехал в отель
спасибо",огонь 🔥,"Всем привет!
Уверены, вы уже добрались до дома, распаковали свои чемоданы и включились в учебу.

Если у вас осталось что-то важное на клауде, просим забрать до 16:00 пятницы, после чего все аккаунты будут заблокированы."
,,,"Можно вопрос: а как при поступлении подтвердить, что я призёр в профиле ИИ?"
,,"Можно вопрос: а как при поступлении подтвердить, что я призёр в профиле ИИ?",диплом будет
,"Можно вопрос: а как при поступлении подтвердить, что я призёр в профиле ИИ?",диплом будет,в личном кабинете таланта написано еще
,,,"Типа есть какая то бумага, удостоверение?"
,,"Типа есть какая то бумага, удостоверение?",На сайте рсош в июне появятся дипломы
,,,"Хорошо, спасибо"
,,"Хорошо, спасибо",Всех с 8 марта❤️
,"Хорошо, спасибо",Всех с 8 марта❤️,спасибо🥹
"Хорошо, спасибо",Всех с 8 марта❤️,спасибо🥹,"Здравствуйте, фоток все ещё нет ("
